src,dst,label,orig_confidence,orig_match_id
camA#1,camB#14,T,high,M000001
camB#5,camA#44,T,high,M000028
camB#13,camA#54,T,low,M000029
camB#47,camA#56,T,low,M000030
camB#46,camA#60,T,high,M000031
camA#28,camB#79,T,high,M000032
camB#40,camA#82,T,high,M000002
camA#39,camB#101,F,low,M000003
camA#67,camB#99,T,medium,M000004
camB#77,camA#92,T,high,M000005
camB#35,camA#98,T,medium,M000006
camB#81,camA#99,T,low,M000007
camB#80,camA#115,T,low,M000008
camB#97,camA#116,T,high,M000009
camB#85,camA#143,F,low,M000010
camB#133,camA#141,F,medium,M000011
camA#110,camB#162,T,high,M000012
camB#120,camA#160,T,medium,M000013
camB#119,camA#164,T,medium,M000014
camB#86,camA#168,T,high,M000015
camA#101,camB#188,F,low,M000016
camB#132,camA#213,T,low,M000017
camB#168,camA#219,T,low,M000018
camA#157,camB#186,T,low,M000019
camB#184,camA#212,T,high,M000020
camA#163,camB#204,T,high,M000021
camB#154,camA#256,T,high,M000022
camB#182,camA#259,T,medium,M000023
camA#179,camB#233,T,low,M000024
camA#204,camB#249,T,high,M000025
camB#210,camA#301,T,high,M000026
camA#234,camB#288,T,high,M000027
camB#85,camA#141,T,(swap-dogru),YENI
camB#133,camA#143,T,(swap-dogru),YENI
camA#72,camB#180,T,recall-gercek,YENI
camA#88,camB#176,T,recall-gercek,YENI
camA#101,camB#192,T,recall-gercek,YENI
camA#187,camB#186,T,recall-gercek,YENI
camA#170,camB#221,T,recall-gercek,YENI
camA#244,camB#211,T,recall-gercek,YENI
camA#5,camB#55,T,recall-gercek,YENI
