match_id,movement_label,src_camera,src_track,src_class,dst_camera,dst_track,dst_class,src_exit_t,dst_enter_t,delta_t,time_score,score,margin,confidence,n_candidates,alternatives
M000001,camA_to_camB,camA,1,car,camB,14,car,0.9,1.3,0.4,0.9231,0.8065,0.8065,high,1,
M000279,camA_to_camB,camA,5,car,camB,55,car,4.85,6.45,1.6,0.9837,0.8759,0.8759,high,1,
M000296,camB_to_camA,camB,5,car,camA,44,car,5.1,5.35,0.25,0.6154,0.8069,0.8069,high,1,
M000337,camB_to_camA,camB,46,car,camA,60,car,7.5,7.7,0.2,0.4615,0.7583,0.7583,high,1,
M000356,camA_to_camB,camA,28,car,camB,79,car,8.9,9.45,0.55,0.4615,0.7418,0.7418,high,1,
M000002,camB_to_camA,camB,40,car,camA,82,car,10.15,10.35,0.2,0.4615,0.751,0.751,high,1,
M000020,camB_to_camA,camB,77,car,camA,92,car,11.65,11.8,0.15,0.3077,0.6906,0.6906,high,1,
M000068,camB_to_camA,camB,97,car,camA,116,car,14.15,14.5,0.35,0.9231,0.9365,0.9365,high,1,
M000114,camA_to_camB,camA,110,car,camB,162,car,17.65,18.0,0.35,0.9231,0.9045,0.9045,high,1,
MAN0001,camA_to_camB,camA,72,car,camB,180,car,17.75,19.8,2.05,,,,manual,,
M000118,camB_to_camA,camB,86,car,camA,168,car,17.95,18.5,0.55,0.4615,0.657,0.657,high,1,
MAN0002,camA_to_camB,camA,88,car,camB,176,car,18.35,19.25,0.9,,,,manual,,
M000153,camA_to_camB,camA,101,car,camB,192,car,20.4,21.6,1.2,0.5878,0.6749,0.6749,high,1,
M000154,camA_to_camB,camA,129,car,camB,188,car,20.45,20.8,0.35,0.9231,0.8953,0.8953,high,1,
MAN0003,camA_to_camB,camA,187,car,camB,202,car,21.8,22.45,0.65,,,,manual,,
MAN0003,camA_to_camB,camA,187,car,camB,186,car,21.8,22.0,0.2,,,,manual,,alias
M000203,camB_to_camA,camB,184,car,camA,212,car,22.0,22.2,0.2,0.4615,0.7757,0.7757,high,1,
MAN0004,other,camA,244,motorcycle,camB,211,motorcycle,22.25,24.15,1.9,,,,manual,,
M000204,camA_to_camB,camA,163,car,camB,204,car,22.7,23.1,0.4,0.9231,0.911,0.911,high,1,
M000222,camB_to_camA,camB,154,car,camA,256,car,23.25,23.55,0.3,0.7692,0.8785,0.2407,high,2,camA#259(0.64)
M000224,camB_to_camA,camB,182,car,camA,259,car,23.65,23.9,0.25,0.6154,0.8069,0.1691,medium,1,
M000256,camA_to_camB,camA,204,car,camB,249,car,25.45,25.7,0.25,0.6154,0.7807,0.7807,high,1,
M000257,camB_to_camA,camB,210,car,camA,301,car,27.2,27.4,0.2,0.4615,0.7583,0.7583,high,1,
M000258,camA_to_camB,camA,234,car,camB,288,car,29.15,29.6,0.45,0.7692,0.8391,0.1662,medium,2,camB#291(0.67)
M000261,camB_to_camA,camB,294,car,camA,356,car,31.45,31.65,0.2,0.4615,0.7808,0.2217,medium,2,camA#354(0.56)
M000263,camB_to_camA,camB,283,car,camA,377,car,33.0,33.2,0.2,0.4615,0.79,0.79,high,1,
M000267,camB_to_camA,camB,330,car,camA,393,car,34.65,35.05,0.4,0.9231,0.9131,0.9131,high,1,
M000269,camB_to_camA,camB,303,car,camA,409,car,35.75,36.15,0.4,0.9231,0.9406,0.9406,high,1,
M000271,camB_to_camA,camB,287,car,camA,414,car,36.75,37.15,0.4,0.9231,0.8665,0.1487,medium,2,camA#417(0.72)
M000273,camB_to_camA,camB,307,car,camA,417,car,37.05,37.35,0.3,0.7692,0.8797,0.1619,medium,2,camA#414(0.59)
M000275,camA_to_camB,camA,401,car,camB,408,car,38.0,38.25,0.25,0.6154,0.7512,0.1203,medium,3,camB#401(0.63);camB#410(0.38)
M000276,camB_to_camA,camB,352,car,camA,432,car,38.85,39.0,0.15,0.3077,0.7088,0.1356,medium,2,camA#440(0.57)
M000277,camA_to_camB,camA,384,car,camB,428,car,38.9,39.5,0.6,0.3077,0.5973,0.5973,high,1,
M000278,camB_to_camA,camB,393,car,camA,440,car,39.4,39.55,0.15,0.3077,0.7036,0.1304,medium,1,
M000281,camA_to_camB,camA,360,car,camB,437,car,40.45,41.05,0.6,0.3077,0.6314,0.6314,high,1,
M000282,camB_to_camA,camB,349,car,camA,455,car,40.75,40.95,0.2,0.4615,0.755,0.755,high,1,
M000284,camB_to_camA,camB,400,car,camA,495,car,42.8,43.15,0.35,0.9231,0.9267,0.9267,high,1,
M000286,camA_to_camB,camA,422,car,camB,471,car,43.45,44.1,0.65,0.1538,0.5823,0.5823,high,1,
M000288,camA_to_camB,camA,438,car,camB,476,car,44.2,44.75,0.55,0.4615,0.6528,0.1462,medium,2,camB#474(0.83)
M000289,camB_to_camA,camB,411,car,camA,514,car,44.55,44.95,0.4,0.9231,0.8843,0.2233,high,2,camA#516(0.66)
M000290,camA_to_camB,camA,468,car,camB,479,car,44.7,44.95,0.25,0.6154,0.8304,0.1891,medium,1,
M000291,camB_to_camA,camB,440,car,camA,516,car,44.9,45.15,0.25,0.6154,0.8165,0.1555,medium,2,camA#514(0.47)
M000292,camB_to_camA,camB,461,car,camA,549,car,47.0,47.4,0.4,0.9231,0.9345,0.9345,high,1,
M000293,camB_to_camA,camB,455,car,camA,555,car,48.25,48.5,0.25,0.6154,0.8249,0.8249,high,1,
M000294,camB_to_camA,camB,481,car,camA,559,car,48.9,49.15,0.25,0.6154,0.8144,0.8144,high,1,
M000295,camA_to_camB,camA,458,car,camB,538,car,49.1,50.75,1.65,0.8404,0.8035,0.1719,medium,1,
M000297,camB_to_camA,camB,492,car,camA,573,car,50.35,50.6,0.25,0.6154,0.813,0.1357,medium,2,camA#576(0.68)
M000298,camB_to_camA,camB,491,car,camA,576,car,50.65,51.0,0.35,0.9231,0.9095,0.2322,high,1,
M000300,camB_to_camA,camB,508,car,camA,592,car,52.25,52.5,0.25,0.6154,0.7994,0.7994,high,1,
M000301,camA_to_camB,camA,543,car,camB,560,car,52.3,52.75,0.45,0.7692,0.7219,0.1047,medium,1,
M000303,camB_to_camA,camB,520,car,camA,612,car,53.75,54.15,0.4,0.9231,0.9362,0.9362,high,1,
M000304,camA_to_camB,camA,548,car,camB,577,car,54.1,54.35,0.25,0.6154,0.8216,0.8216,high,1,
M000305,camB_to_camA,camB,525,car,camA,640,car,55.35,55.75,0.4,0.9231,0.9254,0.1887,medium,2,camA#647(0.74)
M000307,camA_to_camB,camA,570,car,camB,601,car,55.85,56.1,0.25,0.6154,0.7996,0.7996,high,1,
M000308,camB_to_camA,camB,590,car,camA,652,car,56.05,56.2,0.15,0.3077,0.6792,0.1023,medium,1,
M000309,camB_to_camA,camB,546,car,camA,656,car,56.35,56.75,0.4,0.9231,0.9399,0.9399,high,1,
M000310,camA_to_camB,camA,583,car,camB,623,car,56.55,57.1,0.55,0.4615,0.6311,0.6311,high,1,
M000311,camB_to_camA,camB,554,car,camA,677,car,58.3,58.55,0.25,0.6154,0.824,0.824,high,1,
