match_id,movement_label,src_camera,src_track,src_class,dst_camera,dst_track,dst_class,src_exit_t,dst_enter_t,delta_t,time_score,score,margin,confidence,n_candidates,alternatives
M000314,camB_to_camA,camB,13,car,camA,54,car,6.6,6.95,0.35,0.9231,0.9056,0.0901,low,2,camA#56(0.82)
M000315,camB_to_camA,camB,47,car,camA,56,car,6.75,6.9,0.15,0.3077,0.6553,0.034,low,2,camA#54(0.69)
M000018,camA_to_camB,camA,39,car,camB,101,car,11.1,11.6,0.5,0.6154,0.8153,0.0198,low,2,camB#99(0.70)
M000019,camA_to_camB,camA,67,car,camB,99,car,11.35,11.7,0.35,0.9231,0.8879,0.0924,low,2,camB#101(0.80)
M000037,camB_to_camA,camB,35,car,camA,99,car,12.35,12.8,0.45,0.7692,0.8492,0.095,low,2,camA#98(0.75)
M000053,camB_to_camA,camB,80,truck,camA,115,car,13.45,13.85,0.4,0.9231,0.7251,0.7251,low,1,
M000090,camB_to_camA,camB,85,car,camA,141,car,15.75,16.0,0.25,0.6154,0.8282,0.0852,low,2,camA#143(0.74)
M000091,camB_to_camA,camB,133,car,camA,143,car,15.85,15.95,0.1,0.1538,0.6198,0.0871,low,2,camA#141(0.71)
M000115,camB_to_camA,camB,120,car,camA,164,car,17.65,18.05,0.4,0.9231,0.9285,0.0546,low,2,camA#160(0.87)
M000117,camB_to_camA,camB,119,car,camA,160,car,17.85,17.95,0.1,0.1538,0.6426,0.1443,low,2,camA#164(0.79)
M000155,camB_to_camA,camB,132,car,camA,213,car,20.5,20.8,0.3,0.7692,0.8643,0.0489,low,2,camA#219(0.78)
M000156,camB_to_camA,camB,168,car,camA,219,car,20.55,21.0,0.45,0.7692,0.855,0.0396,low,2,camA#213(0.82)
M000223,camA_to_camB,camA,170,car,camB,221,car,23.6,24.8,1.2,0.3609,0.6989,0.0158,low,2,camB#233(0.74)
M000247,camA_to_camB,camA,179,car,camB,233,car,24.2,24.75,0.55,0.4615,0.7701,0.0316,low,2,camB#221(0.71)
M000259,camA_to_camB,camA,285,car,camB,311,car,30.1,30.7,0.6,0.3077,0.7111,0.0881,low,1,
M000260,camA_to_camB,camA,297,car,camB,318,car,30.45,30.85,0.4,0.9231,0.8897,0.0905,low,2,camB#311(0.80)
M000262,camA_to_camB,camA,267,car,camB,345,car,32.1,32.8,0.7,0.0,0.6063,0.6063,low,1,
